ProductID,ProductName,Category,Brand,UnitPrice
P00014,Drone Mini,Books,BrightLux,106.59
P00040,Microphone,Home & Kitchen,UrbanStyle,251.37
P00044,Power Bank 20000mAh,Clothing,UrbanStyle,35.03
P00041,Webcam Full HD,Home & Kitchen,Zenith,33.58
P00029,T-Shirt,Clothing,KiddoFun,515.64
P00023,Cookware Set,Books,ReadMore,449.73
P00030,Dress Shirt,Clothing,UrbanStyle,219.81
P00028,Jeans,Toys & Games,KiddoFun,306.51
P00031,Kids Toy Car,Sports & Outdoors,Apex,146.09
P00001,Wireless Earbuds,Clothing,Apex,278.21
P00046,Car Charger,Books,HomeEase,141.42
P00042,Projector Mini,Home & Kitchen,KiddoFun,346.56
P00018,Vacuum Cleaner,Home & Kitchen,Zenith,496.76
P00035,Desk Plant,Books,HomeEase,291.37
P00025,Running Shoes,Home & Kitchen,Zenith,453.47
P00039,Graphic Tablet,Toys & Games,KiddoFun,547.58
P00033,Puzzle 1000pc,Electronics,ReadMore,529.19
P00010,Smartwatch,Books,ReadMore,493.47
P00003,Smartphone Case,Toys & Games,Apex,452.12
P00021,Backpack,Electronics,ReadMore,107.95
P00008,4K Monitor,Toys & Games,KiddoFun,16.68
P00036,Smart Light Bulb,Toys & Games,UrbanStyle,569.69
P00019,LED Desk Lamp,Books,HomeEase,138.33
P00045,Phone Tripod,Toys & Games,ReadMore,199.99
P00006,Gaming Mouse,Sports & Outdoors,FitLife,126.5
P00047,Memory Card 128GB,Electronics,CoreTech,151.95
P00015,Instant Pot,Electronics,ReadMore,300.89
P00022,Water Bottle,Books,HomeEase,574.28
P00009,Portable SSD 1TB,Toys & Games,HomeEase,449.14
P00048,Wireless Charger,Clothing,HomeEase,409.78
P00043,HDMI Cable 2m,Electronics,NexPro,170.88
P00011,Fitness Band,Home & Kitchen,Zenith,137.1
P00027,Winter Jacket,Toys & Games,CoreTech,582.66
P00026,Sunglasses,Toys & Games,NexPro,392.71
P00007,Mechanical Keyboard,Electronics,CoreTech,534.31
P00005,Laptop Sleeve,Clothing,UrbanStyle,182.55
P00016,Air Fryer,Toys & Games,Apex,184.7
P00037,Router,Books,BrightLux,593.02
P00017,Electric Kettle,Sports & Outdoors,KiddoFun,15.47
P00032,Board Game,Electronics,CoreTech,448.89
P00050,Novel Bestseller,Electronics,NexPro,324.76
P00049,Children's Book,Sports & Outdoors,FitLife,491.78
P00002,Bluetooth Speaker,Electronics,KiddoFun,556.68
P00034,Desk Organizer,Clothing,HomeEase,483.5
P00013,Action Camera,Toys & Games,ReadMore,498.26
P00020,Office Chair,Electronics,FitLife,331.21
P00024,Yoga Mat,Sports & Outdoors,UrbanStyle,189.7
P00012,Noise Cancelling Headphones,Books,KiddoFun,482.37
P00038,External HDD 2TB,Home & Kitchen,UrbanStyle,82.5
P00004,USB-C Charger,Toys & Games,HomeEase,71.26
